label,text
혐오,자신마저 속인 혼이 담긴 구라를 치는 문재앙
혐오,문가이놈은 거짓말쟁이 선동사기꾼 좌익빨갱이임 이적죄로죽여야함
혐오,문재앙 모가지 따야함.. 미췬 치매... 노인 샊이
혐오,문정은이랑 대깨문들이랑 묶어서 화형해야한다.
혐오,광우병걸린 삶은 소대가리 문쩝쩝은 정신병자 치매맞은듯 ㅋㅋ
혐오,문구라 고자 맞네
혐오,"세월호 세모그룹 파산관재인도 문죄인, 웅동학원 파산관재인도 문죄인~~ 파산관재인으로 여기저기서 꿀을 빤 모양이네, 희한하게 문죄인이 엮인 곳은 죄다 재앙을 불러들임~~"
혐오,재앙아 우리는 너의 무능함보다 우리를 기만하는 그 뻔뻔함에 더 화가 치밀어오르는거야 이제 그만하고 내려와라 너 버티다가 진짜 국민의 손에 인생마감한다...
혐오,돌아이 세키네 문재앙
혐오,문재앙 이 개 OOO식
혐오,국민한테 욕쳐먹을까봐~거짓말 한거냐? 하여튼 좌빨들 하는말은 전부다 거짓말@
혐오,국민들은 대통령과 귀족꼴통좌빨정권을 더이상 놔들수는 없다.!!! 국민과 언론에 가짜뉴스를 유포한다더니 가짜뉴스의 진원지가 청와대와 좌빨들이 주범이 아닐까.?!!! 대통령과 조국 좌빨들은 하나같이 모르고 사실이 아니고 법적으론 문제가 없다고 선전선동에만 열을 올리고있다.!!! 침묵만으로는 쓰레기 정권을 무너트릴수는 없기에 행동하는 양심으로 좌빨정권의 몰락을 위한 행동에 적극적으로 동참할 것이다.!!! 사악하고 추악하고 극악무도한 쓰레기 보다도 못한 시궁창같은 정권아.!!! 양심도 도덕도 윤리의식도 없는 국적미상의 좌빨정권.!!!
혐오,아이고 지무덤 지가파고  들어갈날만기다리는새끼네  ㅋㅋ 미친 문재앙 지랄도정도것해야지  세상살다보니 진짜 이런대가리 빠가새끼는 처음보네
혐오,문죄인한테 배워서 조국이 저러는구나...
혐오,구라가 생활...좌빨들!!!
혐오,미친 소대가리! 면상 20000대 후려치고 싶다 😡 내 나라를 위해 광화문으로 갑시다. 광주에서 가족들과 KTX 타고 올라가려 합니다. 침묵과 방관은 역사의 죄인이기에! 매국노 문재인 탄핵!
혐오,완전 사기 아니면 치매 문재앙
혐오,문어벙이의 구라에 이제 속을 국민들은 각종 좌빨연합체들..그리고 전라도넘들 밖에 더있냐...허구헌날 속 는 넘들이 문제지...
혐오,500조원중 예산의 일부라 몰랐다는데 모든 사업이 예산의 일부지...더구나 문죄인이 하고 관련된 사업을 보고 안했다면 직무유기거나 죄인이가 치매왔던가 둘중 하나겠지
혐오,국민은 문재앙 대가리를 방망이로 두들기고 싶다.
혐오,김종인이 괜히 문재앙하고 나눈 대화는 녹음해놔야한다고 했을까 ㅋㅋㅋ 좌좀새기들이 치매노인 대통령 만든거 아니면 구라가 입에달린놈이란거지 ㅋ
혐오,시리>문재앙
혐오,경상도 문원숭이 경상도 조련원숭이 뽑아놓고 우끼 우끼  라도원숭이  조선시대 처럼 또 이용당하는 빨강이 원숭이들  라도원숭이 또 경상도 문원숭이 조련원숭이 에게 이용당하네
혐오,뭘 무슨말인지 몰라 달창들아 니들 주인이 방망이 두드려서 통과시켜놓고 비판여론 나오니까 안했다고 화냈다는 내용이지 구라 좀 그만 치라고
혐오,문구라  조구라ㅜㅜ
혐오,입만 열면 눈알 굴리면서 가짜뉴스를 양산하는 치매걸린 양반이 청와대에 산다는 것이 이 시대의 재앙이다.
혐오,ㅋㅋㅋㅋ 문어벙 쑈. 가짜뉴스라고 지시한적 없다더니  개문어벙 어벙어벙한 면상뒤에 숨겨진 뻔뻔하고 교활한 속내는 어쩔수없구나
혐오,좌빨의 무능과 무지 그리고 무모함이란. 뒈x 질때 깨닫는다니까. 병c  신새끼들!
혐오,종놈 문쩝새의 성깔을 왜 국민들이 받아야하는가?
혐오,좌빨답게 혈세30억을 푼돈 취급하면서 물타기 ㅋ
혐오,"국민에게 보조금 몇푼 던져주고 개돼지로 만들고 ....자기들끼리 요직, 관급공사, 주가조작으로 싹쓸이해 쳐먹고, 지새끼들 로스쿨, 의전원 다 해쳐 먹고 ,....림종석, 문재앙 지새끼들 시카고 ,뉴욕 초 호화유학.. ..더 이상 못 참겠다....오늘 3일 전쟁이다. 13시 광화문에 저 위선자 조국, 문재앙 목따러 1000만 국민 결집한다...저 놈을을 끌어내라지 못하면 우리가 죽는다...."
혐오,뭉재앙이 지넘이 결재한거도 까먹은거
혐오,김대중.노무현이  아무리  못해도  나라까지  망하겠냐라는  생각은  한번도  안  해봤는데  문재앙  이색희는  나라를  베네수엘라처럼  말아  쳐먹을수도  있겠다라는  생각이  든다...어서  끌어  내리자
혐오,핵대중 뇌물현 문죄인 좌좀 3쓰레기가 나라 다 망가뜨려놨구만
혐오,가증스런   뻔뻔함   나라세금 경제 안보  2년만에   시원하게 말아먹은 사기꾼   문재앙   국민을 개무시하고 조롱하는 사기꾼 문재앙
혐오,대한민국의 암적인존재 좌빨들
혐오,미ㅊ ㄴ이네 대통령이 무슨 세금써서 지가하고싶은대로다해놓고 언플하냐ㅈ 저러니 좃국하고 세금으로 나눠먹기했다고해도 다 여론조작하고 언플해서 덮을꺼아냐
혐오,조국도 문재인도 그렇고 좌빨들은 죄다 civer 어제 자신이랑 오늘의 자신의 인격체가 다르냐?  본인이 찬성해놓고 갑자기 왜 화를내?
혐오,쓰레기 범죄자 문재앙 탄핵뿐이다
혐오,지가   한  일이   뭐   있다고    기록관을    만드냐?   좌빨들아    니네들만    돈모아    기로콴이든    동상이든    채려드려라     최악의    대통령으로     국민    낯  뜨겁게    안든  것도   부족해    우상화?    장난하냐?   경제     개OOO   내놓고    미친    돈지랄    하는    극혐좌빨
혐오,똥을 똥이라해도 믿지 못하는 무개념 문빠들아!! 도대체 뭣이 중현디?문씨가 죽으라면 죽을겨? 죽을거 아님 제발 좀 인정할건 하자!! 그게 니덜이 야그하는 정의롭고 공정한 나라 아녀!!!!
혐오,문벌구를 넘어서서 그냥 문재앙은 거짓말 그 자체인듯양심이 1이라도 있으면 절대 저렇게 행동못함고로 문재앙 no양심 not human
혐오,좃국같은 시끼
혐오,이1팔 빨갱이 새뀌들
혐오,방망이가 밤에만 쓰는줄로 알았답니다. 문치매가
혐오,거짓말쟁이 문죄앙
혐오,지주제른모르는문죄인  국민들은불행하게만드는대통령  살날보다 죽을날이가깝습니다  바르게사세요
혐오,빨갱이들은 왜 이런 기사에는 코빼기도 안보이는 거죠?느그들도 존나 쪽팔린건 아는 갑소? 더럽고 역겨운 좌빨님들아?ㅋㅋㅋ
혐오,숨 쉬는 것 빼고 다 구라인 새끼 ㅋㅋㅋㅋ 그 방망이로 쩝쩝이 머리통 치고 싶다!!
혐오,서초동 집회 보니까 좌빨들 다 씹틀딱 ㅋㅋㅋㅋㅋㅋ 맨날 틀딱거리면서 정작 자기들이 씹틀딱이었죠?~~~~
혐오,화를냈다?그걸로 은근슬쩍 넘어가려고? 문죄인은 헛똑똑이라서  털면 그냥 내놓게되어있다.
혐오,"어휴 십.알 진짜 정신감정 받아봐야하는거 아님?달.챵.련들아..느그 댓통령 존나 이상한데? 지는 지시한적 없다는데 사실로 들어난건 방망이 두둘겨서 예산 통과 시켰다는데? 걱정 안되냐,? 빨갱이들 수령님인데? 니들이 진짜 걱정 된다면 진지하게 ..걱정되니 나라 세금으로 하더라도 정신감정 치매인지 치료좀 받자고 히자.."
혐오,문죄인 갈수록 쓰레기로 변하네
혐오,거짓말쟁이~~~문재앙
혐오,재앙아 치매걸린게 확실해 보이는데  그만  부엉바위에서    self kill해라
혐오,이젠 지겹다 재앙이 패거리들. 사형 시켜서 나라 살리자
혐오,문재앙은 역시 삥따리 핫바지 이고....그럼 실세는 임종돌???
혐오,헐~ 역시 문재앙 빨겅이들은 거짓말과 위선이  일상이여~
혐오,치매걸린 간첩 문재앙  사형
혐오,빨갱이를 대통으로 뽑다니 ! ㅡ  이런 게대지덜은 쳐 죽이야 한다 .  게대지덜  덕분에 삶이 고단하다절ㅡ라ㅡ도 !  악마의 고장  머슴 완장의고장  OOO의ㅈ고장 빨갱이ㅈ간첩의ㅅ고장 넘들에게 선동당한 ㅂㅅ 넘들은 OOO !
혐오,이게 왜 가짜뉴스냐??ㅋㅋㅋㅋ 저렇게 다 기록이 되어있는데?? 대깨문들아..... 제발 니네 입맛에 맞는거만 골라서 쳐 먹지마 ㅋㅋㅋㅋ 문재인은 북괴 간첩이야 빡머가리들앜ㅋㅋㅋㅋ
혐오,치매노인  문신병자
혐오,나중에 까보면 순실이 보다 10배는더 해먹었을걸 32억은 껌값도 안된다고 오리발 들통나면 죄인이나 쪼국이나 다모릅니다 돌아가신 아버지가 한걸 제가 어찌 압니까?
